CNTYNAME,PSTL_CODE,YEAR,DATE_COL,ELEVATION,UID,SITE_ID,UNIQUE_ID,LAT_DD83,LON_DD83
Anne Arundel,MD,2019,9/16/2019,0.42,2014654,NRS18_MD_10632,NRS_MD-10096,39.22843476,-76.66950694
Buckingham,VA,2019,9/16/2019,117.29,2014655,NRS18_VA_10018,NRS_VA-10143,37.62282672,-78.34483344
Dallas,AL,2019,9/15/2019,26.67,2014656,NRS18_AL_10638,NRS_AL-10106,32.28881948,-87.29103471
Choctaw,AL,2019,9/16/2019,2.47,2014657,NRS18_AL_10017,NRS_AL-10074,31.741665,-88.09560019
Broome,NY,2019,9/16/2019,259.99,2014658,NRS18_NY_10013,NRS_NY-10044,42.16144092,-75.85677932
Montgomery,KS,2019,9/16/2019,230.445,2014659,NRS18_KS_10012,NRS_KS-10093,37.20970471,-95.54539085
Burt,NE,2019,9/16/2019,312.38,2014660,NRS18_NE_10059,NRS_NE-10046,41.93932856,-96.14472252
Penobscot,ME,2019,9/16/2019,104.77,2014661,NRS18_ME_10007,NRS_ME-10288,45.89866594,-68.61411606
Summit,UT,2019,9/16/2019,1656.2,2014662,NRS18_UT_10007,NRS_UT-10247,40.98295477,-111.4506502
Sullivan,NY,2019,9/15/2019,182.85,2014663,NRS18_NY_10290,NRS_NY-10218,41.45152254,-74.76150688
Herkimer,NY,2019,9/16/2019,560.15,2014664,NRS18_NY_10251,NRS_NY-10179,43.45278865,-74.86123359
Ionia,MI,2019,9/17/2019,215.99,2014665,NRS18_MI_10054,NRS_MI-10153,42.85931554,-84.91912977
Holt,NE,2019,9/17/2019,256.79,2014666,NRS18_NE_10014,NRS_NE-10118,40.01724473,-95.33154776
Rich,UT,2019,9/17/2019,1912.115,2014667,NRS18_UT_10006,NRS_UT-10243,41.59254862,-111.1414781
McIntosh,OK,2019,9/16/2019,178.995,2014668,NRS18_OK_10012,NRS_OK-10052,35.39935939,-95.79264844
Cattaraugus,NY,2019,9/17/2019,426.56,2014669,NRS18_NY_11299,NRS_NY-10233,42.06621384,-78.4661779
Brown,KS,2019,9/17/2019,322.96,2014670,NRS18_KS_10029,NRS_KS-10210,39.75447276,-95.69903262
Corson,SD,2019,9/17/2019,637.285,2014671,NRS18_SD_10006,NRS_SD-10334,45.56322772,-101.5487173
