,fips,recent_trend_cat,predictions
2036,39001,stable,1
2037,39003,stable,2
2038,39005,rising,1
2039,39007,falling,2
2041,39011,stable,2
2042,39013,stable,2
2043,39015,stable,2
2044,39017,rising,1
2045,39019,rising,1
2046,39021,stable,2
2048,39025,stable,2
2049,39027,stable,2
2050,39029,rising,2
2051,39031,stable,2
2052,39033,stable,2
2053,39035,rising,1
2054,39037,stable,2
2055,39039,stable,2
2056,39041,stable,2
2057,39043,stable,2
2058,39045,stable,2
2059,39047,rising,1
2060,39049,stable,2
2061,39051,rising,1
2062,39053,stable,2
2063,39055,rising,2
2064,39057,stable,2
2065,39059,stable,2
2066,39061,rising,1
2067,39063,stable,2
2069,39067,stable,2
2070,39069,stable,2
2072,39073,stable,2
2074,39077,rising,1
2075,39079,stable,1
2076,39081,stable,1
2077,39083,stable,2
2078,39085,rising,1
2079,39087,stable,2
2081,39091,stable,2
2082,39093,rising,1
2083,39095,rising,1
2084,39097,stable,2
2085,39099,stable,2
2086,39101,stable,2
2087,39103,stable,2
2088,39105,stable,2
2089,39107,stable,2
2090,39109,rising,1
2091,39111,stable,2
2092,39113,stable,2
2094,39117,stable,2
2095,39119,stable,2
2097,39123,stable,2
2098,39125,stable,2
2099,39127,stable,2
2100,39129,stable,2
2101,39131,rising,1
2102,39133,stable,2
2104,39137,stable,2
2105,39139,rising,1
2106,39141,stable,2
2107,39143,stable,2
2108,39145,stable,2
2109,39147,stable,2
2110,39149,stable,2
2111,39151,stable,2
2112,39153,rising,1
2113,39155,stable,2
2114,39157,stable,2
2115,39159,stable,2
2116,39161,stable,2
2117,39163,rising,2
2118,39165,stable,2
2119,39167,stable,2
2120,39169,rising,2
2121,39171,falling,2
2122,39173,stable,2
2123,39175,stable,2
2133,40019,stable,2
2134,40021,stable,2
2135,40023,stable,2
2139,40031,stable,2
2142,40037,stable,2
2147,40047,stable,2
2148,40049,stable,2
2158,40069,stable,2
2159,40071,stable,2
2163,40079,stable,2
2166,40085,stable,2
2167,40087,stable,2
2168,40089,stable,2
2171,40095,stable,2
2172,40097,stable,2
2173,40099,stable,2
2174,40101,stable,2
2175,40103,rising,1
2178,40109,stable,2
2180,40113,stable,2
2181,40115,rising,1
2184,40121,rising,1
2185,40123,stable,2
2189,40131,rising,2
2191,40135,stable,2
2193,40139,stable,2
